email,first_name,last_name,skill_level
luis.suarez@saintsnfl.com,Luis,Suarez,Expert
pepe.reina@saintsnfl.com,Pepe,Reina,COMPETENT
pepe.reina@saintsnfl.com,Pepe,Reina,UNKNOWN
steven.gerrard@saintsnfl.com,Steven,Gerrard,Novice
graeme.souness@saintsnfl.com,Graeme,Souness,Novice
trent.alexander-arnold@saintsnfl.com,Roberto,,INVALID_LEVEL
invalid-email,Pepe,Alonso,INVALID_LEVEL
xabi.alonso@saintsnfl.com,Xabi,Alonso,Novice
fernando.torres@saintsnfl.com,Fernando,Torres,UNKNOWN
xabi.alonso@saintsnfl.com,Xabi,Alonso,Expert
phil.neal@saintsnfl.com,Phil,Neal,Novice
ian.rush@saintsnfl.com,Ian,Rush,Expert
jordan.henderson@saintsnfl.com,Jordan,Henderson,Novice
ian.rush@saintsnfl.com,Ian,Rush,COMPETENT
virgil.van@saintsnfl.com,Virgil,van,COMPETENT
kenny.dalglish@saintsnfl.com,Kenny,Dalglish,COMPETENT
jordan.henderson@saintsnfl.com,Jordan,Henderson,Novice
jordan.henderson@saintsnfl.com,Jordan,Henderson,Expert
mohamed.salah@saintsnfl.com,Mohamed,Salah,COMPETENT
sadio.mane@saintsnfl.com,Sadio,Mane,UNKNOWN
sadio.mane@saintsnfl.com,Sadio,Mane,Novice
xabi.alonso@saintsnfl.com,Xabi,Alonso,Novice
fernando.torres@saintsnfl.com,Fernando,Torres,COMPETENT
kenny.dalglish@saintsnfl.com,Kenny,Dalglish,Novice
andy.robertson@saintsnfl.com,Andy,Robertson,UNKNOWN
andy.robertson@saintsnfl.com,Andy,Robertson,UNKNOWN
luis.suarez@saintsnfl.com,Luis,Suarez,Expert
roberto.firmino@saintsnfl.com,Roberto,Firmino,UNKNOWN
luis.suarez@saintsnfl.com,Luis,Suarez,Expert
fernando.torres@saintsnfl.com,Fernando,Torres,Novice
ian.rush@saintsnfl.com,Ian,Rush,UNKNOWN
virgil.van@saintsnfl.com,Virgil,van,Novice
invalid-email,Luis,,INVALID_LEVEL
steven.gerrard@saintsnfl.com,Steven,Gerrard,Novice
sadio.mane@saintsnfl.com,Sadio,Mane,COMPETENT
sadio.mane@saintsnfl.com,Fernando,Milner,Novice
john.barnes@saintsnfl.com,John,Barnes,COMPETENT
jordan.henderson@saintsnfl.com,Jordan,Henderson,UNKNOWN
mohamed.salah@saintsnfl.com,Mohamed,Salah,EXPERT
john.barnes@saintsnfl.com,John,Barnes,COMPETENT
jordan.henderson@saintsnfl.com,Jordan,Henderson,COMPETENT
virgil.van@saintsnfl.com,Virgil,van,COMPETENT
jordan.henderson@saintsnfl.com,Jordan,Henderson,COMPETENT
sadio.mane@saintsnfl.com,Sadio,Mane,Novice
alisson.becker@saintsnfl.com,Alisson,Becker,Expert
mohamed.salah@saintsnfl.com,Mohamed,Salah,EXPERT
jamie.carragher@saintsnfl.com,Jamie,Carragher,Expert
james.milner@saintsnfl.com,James,Milner,Expert
kenny.dalglish@saintsnfl.com,Kenny,Dalglish,UNKNOWN
phil.neal@saintsnfl.com,Phil,Neal,Expert
sadio.mane@saintsnfl.com,Sadio,Mane,COMPETENT
